Rank,PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
139,Samuel Dalembert,Dal,C,32,7,19.1,39.8,11.7,0.116,15,0.667,24,0.458,0,0,0.523,4.6,8.4,25.8,0,0,0.29,1.43,0
140,Serge Ibaka,Okc,PF,24,17,34,68.7,14.4,0.11,34,0.765,134,0.612,13,0.385,0.633,12.1,6.8,11.4,0.7,3.5,0.65,2.47,4.5
141,Shane Battier,Mia,SF,35,16,12.4,25.8,8.8,0.175,5,0.8,6,0.5,20,0.45,0.656,2.3,0.6,3.4,0.3,3.7,0.31,0.06,2.4
142,Shaun Livingston,Bro,PG,28,12,26.9,56,18.8,0.177,37,0.73,85,0.506,1,1,0.567,9.7,3.5,8.2,3.3,21.1,0.42,0.42,7.2
143,Shawn Marion,Dal,SF,35,7,26.9,56.1,16.5,0.073,11,0.636,41,0.488,18,0.222,0.462,8.4,5.3,11.5,1.9,10,0.86,0.14,6.5
144,Shelvin Mack,Atl,PG,24,7,16.7,34.8,23.2,0.103,12,0.75,20,0.45,27,0.37,0.545,8.1,1.9,6.3,3.6,45.7,0.57,0,9.1
145,Stephen Curry,Gol,PG,25,7,42.2,87.8,23.2,0.162,42,0.881,59,0.492,57,0.386,0.599,23,3.6,4.8,8.4,32,1.71,0.14,8.4
146,Steve Blake,Gol,PG,33,6,7.3,15.2,14,0.139,1,0,2,0.5,10,0.3,0.442,1.8,0.7,5.2,0.3,6.5,0,0,4
147,Steven Adams,Okc,C,20,18,18.2,36.9,9.1,0.154,23,0.348,45,0.689,0,0,0.635,3.9,4.1,12.8,0.2,1.9,0.06,1.33,3.2
148,Taj Gibson,Chi,PF,28,5,30.6,62.4,25.4,0.099,36,0.75,57,0.561,0,0,0.625,18.2,6.2,11.7,0.4,2.8,0.4,2.4,4.7
149,Tayshaun Prince,Mem,SF,33,7,15.9,31.2,11.2,0.037,0,0,22,0.409,4,0.25,0.404,3,1.4,5,0.9,8.5,0.14,0,3.9
150,Terrence Jones,Hou,PF,22,6,22.9,45.3,14.4,0.043,12,0.5,38,0.526,1,0,0.519,7.7,6.2,14.8,1.3,8.8,0.83,0.5,6.9
151,Terrence Ross,Tor,SG,22,7,22.3,46.5,17.2,0.14,5,0.6,23,0.435,24,0.167,0.356,5,2,5.5,0.3,2.2,0.86,0.43,2.6
152,Thabo Sefolosha,Okc,SG,29,15,15.5,31.2,12.6,0.109,5,0.8,32,0.531,23,0.261,0.49,3.7,2.1,7.6,0.7,6.7,0.67,0,4.5
153,Thomas Robinson,Por,PF,22,11,10.9,22,14.3,0.128,7,0.857,31,0.419,0,0,0.469,2.9,2.6,13.1,0.5,7.5,0.45,0.45,5.7
154,Tiago Splitter,San,C,29,23,22.3,46.2,13.5,0.121,71,0.718,99,0.616,1,0,0.659,7.5,6.1,16,2,12.7,0.7,0.48,8.1
155,Tim Duncan,San,C,37,23,32.5,67.4,22.1,0.073,100,0.76,283,0.527,2,0,0.568,16.3,9.1,16.4,1.9,9.4,0.3,1.26,8.1
156,Tony Allen,Mem,SG,32,7,32.7,64.3,18.7,0.129,21,0.762,65,0.538,7,0,0.529,12.3,7.7,13.2,1.3,6.9,1.71,0.14,6.1
157,Tony Parker,San,PG,31,23,31.1,64.4,28.5,0.141,70,0.729,311,0.498,35,0.371,0.531,17.4,2,3.7,4.8,26.4,0.65,0.04,7.1
158,Tony Snell,Chi,SG,22,5,9.2,18.7,10.5,0.1,0,0,4,0.5,5,0,0.222,0.8,1.2,7.6,0.4,6.9,0.2,0.2,3.2
159,Trevor Ariza,Was,SF,28,11,36.8,75.9,15.6,0.105,27,0.778,52,0.519,56,0.446,0.626,13.6,8.9,14,1.7,8.1,1.55,0.36,6.4
160,Trevor Booker,Was,PF,26,9,16,32.9,11.4,0.087,6,0.667,27,0.481,2,0,0.474,3.3,4.3,15.7,0.9,9,0.33,1,5.8
161,Troy Daniels,Hou,SG,22,4,16.9,32.6,13.4,0.094,5,1,2,0.5,15,0.533,0.807,7.8,2.3,7.3,0.3,2.2,0.5,0,4.1
162,Tyler Hansbrough,Tor,PF,28,3,9.4,19.6,12.7,0.262,6,0.833,3,0.333,0,0,0.621,2.3,2,12.9,0.3,5.5,0,0,4.7
163,Udonis Haslem,Mia,PF,33,16,10.3,21.6,13.1,0.024,10,0.6,37,0.459,0,0,0.483,2.5,2.6,16.5,0.3,3.8,0.06,0.19,4.9
164,Vince Carter,Dal,SG,37,7,27,56.2,19.1,0.075,14,0.786,37,0.432,31,0.484,0.593,12.6,3.6,7.7,2.4,13.8,0.43,0.29,7.1
165,Wayne Ellington,Dal,SG,26,2,6.7,13.9,30,0.225,2,1,0,0,6,0.333,0.581,4,1,8.7,1,22.5,0,0,9.5
166,Wesley Matthews,Por,SG,27,11,38.6,78.1,17.8,0.128,32,0.813,68,0.5,68,0.324,0.533,14.5,3.8,5.4,1.3,5.1,1.27,0.45,4.3
167,Will Barton,Por,SG,23,7,11.4,22.8,23.4,0.141,6,0.833,23,0.478,11,0.545,0.614,6.4,1.9,8.8,0.4,6.7,0.14,0.29,5.9
168,Zach Randolph,Mem,PF,32,6,38.8,75.7,26,0.076,41,0.61,103,0.408,1,0,0.447,18.2,8.7,12.5,2.3,11.1,0.83,0.17,7.4
