Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
116	Lance Stephenson	Mem	SF	25	4	23.7	49.5	23.8	0.061	5	0.8	39	0.538	5	0.4	0.563	13	1.5	3.7	1.8	17.4	0.25	0	5.5
117	Lavoy Allen	Ind	PF	26	6	8.5	17.7	10.4	0.091	0	0	10	0.3	0	0	0.3	1	2.3	15.8	0.3	6.3	0.17	0.17	4.2
118	Leandro Barbosa	Gol	SG	33	23	11.1	23	18.7	0.102	21	0.762	60	0.667	28	0.393	0.663	5.6	1.2	5.7	0.7	9.7	0.48	0.04	6
119	LeBron James	Cle	SF	31	21	39.1	81.5	30.8	0.137	124	0.661	323	0.579	94	0.34	0.585	26.3	9.5	14.4	7.6	36.6	2.33	1.29	12.7
120	Luc Mbah a Moute	Lac	PF	29	5	15.7	32.7	4.8	0.237	1	1	6	0.667	0	0	0.699	1.8	2	6.3	0.2	1.8	0.6	0	2.3
121	Lucas Nogueira	Tor	C	23	5	5.8	12.1	6.4	0	0	0	4	0.75	0	0	0.75	1.2	1.6	16.5	0	0	0	0	0
122	Luis Scola	Tor	PF	35	11	12.8	26.6	13.5	0.122	11	0.727	10	0.4	21	0.19	0.391	2.5	1.6	7.7	0.6	7.7	0.27	0	4.2
123	Luol Deng	Mia	PF	30	14	35.3	73.6	17.1	0.129	38	0.842	81	0.506	57	0.421	0.601	13.3	5.9	9.9	1.6	7.2	0.93	0.64	5.7
124	Manu Ginobili	San	SG	38	10	19.2	40.1	15.5	0.109	23	0.783	25	0.44	22	0.409	0.586	6.7	2.7	8.1	2.5	18.5	0.8	0.3	7.4
125	Marcus Morris	Det	SF	26	4	36	75	21.7	0.08	23	0.87	29	0.517	18	0.389	0.621	17.8	3.3	5.5	2.5	11.6	0.5	0	5.9
126	Marcus Smart	Bos	PG	21	6	32.1	66.8	18.8	0.178	21	0.81	28	0.393	32	0.344	0.52	12	4.5	7.3	3	15.9	1.67	0.83	6.8
127	Marreese Speights	Gol	C	28	24	8.4	17.5	33.1	0.132	31	0.774	75	0.373	43	0.419	0.509	5.6	2	12.7	0.5	9.5	0.13	0.33	8.5
128	Marvin Williams	Cha	PF	29	7	32.5	67.7	11.5	0.037	4	0.5	34	0.235	17	0.353	0.341	5.1	6.7	11.8	0.9	4.4	0.86	0.43	3.9
129	Mason Plumlee	Por	C	25	11	27.8	58	15.3	0.228	33	0.636	70	0.4	0	0	0.456	7	11.8	21.8	4.8	25.7	0.64	1	10.6
130	Matt Barnes	Mem	SF	35	4	34.8	72.5	20.9	0.205	10	0.8	28	0.464	18	0.167	0.427	10.8	7	11.7	2.8	14.3	1.25	0.25	6.9
131	Matthew Dellavedova	Cle	PG	25	20	12.1	25.1	18.9	0.142	24	0.75	43	0.419	31	0.258	0.461	3.9	0.8	3.7	2.8	33.6	0.05	0.05	6.8
132	Maurice Harkless	Por	SF	22	11	24.7	51.5	20.8	0.083	25	0.48	66	0.485	44	0.341	0.5	11	5.1	10.6	0.6	4.3	0.91	0.27	5.2
133	Michael Beasley	Hou	SF	27	5	16.1	33.4	28.8	0.125	7	0.857	40	0.5	6	0.333	0.53	10.4	4.2	13.8	0.6	9	0.2	0	7.4
134	Mike Muscala	Atl	C	24	9	7.4	15.5	16	0.126	2	1	14	0.571	6	0.333	0.575	2.7	1.9	13.7	0.3	7.4	0	0.11	6.2
135	Mike Scott	Atl	PF	27	10	16.1	33.5	14.3	0.155	8	0.875	24	0.708	16	0.5	0.747	6.5	3.2	10.7	0.5	5.2	0.3	0.3	5.4
136	Mo Williams	Cle	PG	33	13	5.2	10.9	26.4	0.257	2	0.5	15	0.333	13	0.231	0.346	1.5	0.5	5.2	0.2	6.5	0.31	0	4.1
137	Monta Ellis	Ind	SG	30	7	32.2	67.1	20.8	0.175	10	0.8	55	0.473	21	0.333	0.504	11.6	3.9	6.9	4.3	24.6	2.14	0	7.2
138	Montrezl Harrell	Hou	PF	22	2	5.8	12.1	17.3	0.205	2	0.5	2	0.5	1	0	0.387	1.5	1	9.1	0	0	0	0	0
139	Myles Turner	Ind	C	19	7	28.2	58.7	21.2	0.138	9	0.667	69	0.478	2	0	0.48	10.3	6.4	13.1	0.4	2.9	0.29	3.29	4.2
140	Nick Collison	Okc	PF	35	9	8.7	18.2	4.4	0.127	2	0.5	6	0.667	0	0	0.654	1	1.2	7.8	0.6	8.5	0.89	0	4.1
141	Nicolas Batum	Cha	SF	27	5	28.8	59.9	20.5	0.129	20	0.85	23	0.478	22	0.273	0.53	11.4	3.6	7.2	2	12.7	0.4	0	6
