Rank	PLAYER	TEAM	POS	AGE	GP	MPG	MIN%	USG%	TOr	FTA	FT%	2PA	2P%	3PA	3P%	TS%	PPG	RPG	TRB%	APG	AST%	SPG	BPG	VI
161	Serge Ibaka	Tor	PF	27	10	30.7	63.9	22.4	0.075	13	0.846	92	0.522	38	0.316	0.527	14.3	6.4	12.6	1.4	8.5	0.4	1.7	6.6
162	Shabazz Napier	Por	PG	25	4	11.7	24.3	20.1	0	8	0.75	8	0.375	11	0.455	0.599	6.8	1	4.6	0.8	11.3	0.5	0	6
163	Shaun Livingston	Gol	PG	31	14	15.7	32.7	14.1	0.139	7	0.714	59	0.576	0	0	0.588	5.2	2.1	7.1	1.4	12.3	0.36	0.14	6.3
164	Shelvin Mack	Uta	PG	26	9	17.2	35.8	19.9	0.139	15	0.867	34	0.294	15	0.467	0.486	6	2.8	9.7	2	18.4	0.44	0	7.5
165	Spencer Hawes	Mil	PF	28	3	5.5	11.5	17.2	0.167	0	0	3	0.333	2	0.5	0.5	1.7	1.3	14.4	0.3	10	0	0	6.3
166	Stephen Curry	Gol	PG	28	17	35.3	73.6	30.1	0.14	114	0.904	140	0.564	172	0.419	0.659	28.1	6.3	9.6	6.8	29.8	2.06	0.24	12.1
167	Steven Adams	Okc	C	23	5	31.4	65.4	10	0.109	11	0.364	28	0.643	0	0	0.609	8	6.8	11.7	1.4	6.5	1.2	2	5.4
168	Taj Gibson	Okc	PF	31	5	23.7	49.3	16.8	0.172	8	0.875	35	0.6	0	0	0.636	9.8	3.6	8.2	0.6	4	0.2	0	4.7
169	Taurean Prince	Atl	SF	22	6	31.2	65	13.9	0.114	5	1	38	0.658	14	0.286	0.618	11.2	5.3	9.6	1.5	7.7	0.33	0.33	5.7
170	Terry Rozier	Bos	PG	22	17	16.3	34	16.5	0.099	20	0.8	44	0.432	38	0.368	0.529	5.6	2.6	9.3	1.9	17.1	0.65	0.18	7.4
171	Thaddeus Young	Ind	PF	28	4	35	72.9	15.4	0.121	10	0.5	35	0.571	4	0.25	0.553	12	9	15.1	2.5	10.3	2	0.25	7.4
172	Thon Maker	Mil	PF	19	6	19.4	40.4	17.9	0.182	11	0.818	21	0.476	10	0.2	0.488	5.8	3.2	9.8	2	16.6	0.83	1.83	6.9
173	Tim Hardaway Jr.	Atl	SG	24	6	33.4	69.6	21.2	0.1	19	0.632	40	0.4	42	0.262	0.426	12.8	2.7	4.5	1.2	5.4	0.5	0	4.1
174	Tony Parker	San	PG	34	8	26.4	55	24.3	0.103	14	1	79	0.506	19	0.579	0.61	15.9	2.6	5.7	3.1	20.4	0.5	0	7.6
175	Tony Snell	Mil	SG	25	6	30.8	64.1	11.8	0.043	0	0	13	0.462	31	0.516	0.682	10	2.3	4.5	1.5	8	0.17	0.17	4.2
176	Trevor Ariza	Hou	SF	31	11	37.5	78.2	11.9	0.08	14	0.929	36	0.5	61	0.377	0.572	10.7	5.1	7.3	2.1	8.3	1.09	0.18	5.2
177	Trey Burke	Was	PG	24	3	6.6	13.7	8.8	0	0	0	2	0	2	0	0	0	0	0	1.7	30.6	0	0	0
178	Tristan Thompson	Cle	C	25	18	31.2	65	11.1	0.151	60	0.667	92	0.587	0	0	0.625	8.2	8.4	15.7	1.4	6.1	0.5	0.72	5.9
179	Troy Daniels	Mem	SG	25	6	11.4	23.7	8.1	0.182	0	0	0	0	9	0.333	0.5	1.5	0.8	4.7	0.3	4.4	0.33	0	2.5
180	Tyler Zeller	Bos	C	27	11	7.1	14.8	18.9	0.123	8	0.75	25	0.52	0	0	0.561	2.9	1.7	14.2	0.7	16.3	0	0.18	8.5
181	Victor Oladipo	Okc	SG	24	5	36.2	75.3	16.5	0.086	6	1	36	0.417	25	0.24	0.424	10.8	5.8	8.7	2	8	1.4	0.8	5.5
182	Vince Carter	Mem	SG	40	6	32.5	67.6	14.2	0.182	7	1	22	0.545	20	0.4	0.61	9.2	3.3	6.6	1.5	7.6	0.33	0	4.4
183	Wayne Selden	Mem	SG	22	6	17.7	36.8	14.1	0.067	4	0.75	15	0.467	11	0.182	0.414	3.8	1.5	5.5	1.2	10.6	0.17	0.17	4.3
184	Zach Randolph	Mem	PF	35	6	31.9	66.5	25.1	0.083	11	0.727	76	0.447	7	0.143	0.45	13.2	8.2	16.5	0.7	4	0.83	0.33	5.3
185	Zaza Pachulia	Gol	C	32	15	14.1	29.4	16.5	0.172	17	0.765	59	0.542	1	0	0.571	5.1	3.9	14.8	0.7	7	0.47	0.27	6.8
